Strain	N_Gene_tot	DNApol_III_a_sub	tRNA_synthetase	16rRNA	cellulase	Blactamase
Enterococcus_sp._DA9	3313	1	25	6	3	2
Streptococcus_suis_TL13	2102	1	24	3	6	1
Bordetella_pertussis_strain_F013	4389	3	21	1	6	1
Staphylococcus_aureus_subsp._aureus_COL	2739	1	21	2	4	1
Escherichia_coli_O169:H41_strain_2014EL-1345-2	5480	1	23	9	7	2
Haloquadratum_walsbyi_C23	3287	0	19	1	6	2
Aeromonas_sp._w55	1111	1	21	2	0	1
Caulobacter_henricii_strain_CB4	3895	2	21	2	1	10
Clostridium_botulinum_Ba4_str._657	4223	1	26	2	5	7
Staphylococcus_hominis_strain_FDAARGOS_747_strain_Not_applicable	2361	1	21	6	1	1
Xanthomonas_citri_pv._phaseoli_var._fuscans_strain_CFBP6975	5296	2	22	4	18	7
Neisseria_meningitidis_strain_M22189	3050	1	21	2	1	0
Aggregatibacter_actinomycetemcomitans_HK1651	2245	1	22	2	3	0
Bordetella_pertussis_strain_J528	4421	3	21	3	6	1
Bordetella_pertussis_strain_B1838	4365	3	21	4	2	1
[Clostridium]_hiranonis_strain_DSM_13275	2623	1	26	10	6	0
Mycobacterium_avium_subsp._hominissuis_strain_OCU873s_P7_4s	4950	2	22	1	10	8
Staphylococcus_aureus_strain_JH4899	2942	1	21	7	8	5
Escherichia_coli_strain_150	6556	1	24	0	9	1
Clostridioides_difficile_strain_DSM_29637	4442	1	25	14	6	7
Mesorhizobium_sp._M2A.F.Ca.ET.043.05.1.1	7207	4	20	1	8	5
Agrococcus_jejuensis_strain_DSM_22002	3432	2	19	3	5	5
Rickettsia_japonica_strain_LA16/2015	1730	1	20	1	1	4
Rhodobacter_sphaeroides_2.4.1	4699	3	21	4	6	4
Salmonella_enterica_subsp._enterica_serovar_Typhi_strain_311189_204186	5486	1	24	7	12	2
Rhodovulum_sulfidophilum_DSM_1374	4582	2	21	1	8	3
Achromobacter_sp._AONIH1	6611	2	24	4	5	7
Yersinia_pseudotuberculosis_strain_NCTC8480	4627	1	22	7	13	3
Mycobacterium_abscessus_subsp._bolletii_50594	4545	2	21	1	3	8
Bifidobacterium_kashiwanohense_JCM_15439_=_DSM_21854	2136	1	19	6	5	1
Escherichia_phage_LL5_strain_Escherichia_coli_str._MG1655	1848	1	20	2	1	3
Sphingomonas_sanxanigenens_DSM_19645_=_NX02	5964	3	20	1	17	12
Mycobacterium_lepraemurium_strain_Hawaii	4906	4	21	2	8	6
Leclercia_adecarboxylata_strain_16008513_strain_16005813	4779	1	23	2	5	4
Propionibacterium_acnes_KPA171202	2478	2	21	1	2	2
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_strain_Balt8	5088	1	23	7	8	1
Staphylococcus_aureus_strain_AR_0228	3076	1	23	8	2	5
Clostridium_botulinum_strain_CFSAN034200	4513	1	27	12	5	7
Halomonas_jeotgali_Hwa	4613	1	22	3	1	0
Vibrio_alginolyticus_strain_2439-01	5020	2	24	12	4	4
Pseudomonas_sp._B10_strain_B10	5742	2	22	7	2	5
Enterococcus_faecium_strain_4928STDY7071283	3045	1	23	1	1	2
Xanthomonas_oryzae_pv._oryzae_strain_CFBP7337	5382	2	23	2	14	4
Geobacter_sulfurreducens_strain_YM18	3491	1	22	3	2	7
Arthrospira_platensis_NIES-39	7380	3	23	1	10	9
Ketogulonicigenium_vulgare_Y25	3420	3	21	1	7	6
Streptococcus_pneumoniae_strain_2245STDY5562600_strain_GPSC76	3208	1	23	1	5	3
Corynebacterium_pseudotuberculosis_strain_OVI1FL	2309	1	20	0	5	1
Bordetella_pertussis_strain_I464	4389	3	21	1	4	1
Salmonella_bongori_CFSAN000510	4635	1	23	0	6	2
Bacillus_subtilis_ATCC_19217	4070	1	24	2	7	5
Nodularia_spumigena_UHCC_0039	5847	2	21	5	12	5
Chlamydia_suis_strain_SWA-14	1027	1	19	3	0	1
Bacillus_anthracis_Canadian_bison	6124	1	32	2	5	22
Klebsiella_variicola_strain_GJ2	6081	1	26	2	7	9
Aquibacillus_sp._TKL69	4207	2	26	8	2	7
Hippea_maritima_DSM_10411	1818	1	21	1	1	5
Moraxella_bovoculi_strain_58069	2650	1	21	6	1	3
Streptomyces_nitrosporeus_strain_ATCC_12769	7372	1	22	1	5	11
Enterobacter_cloacae_strain_DG6	4711	1	23	10	9	4
Bacillus_velezensis_strain_BvL03	4240	1	24	9	5	5
Bacillus_velezensis_strain_SYP-B637	4181	1	24	9	9	5
Bordetella_pertussis_strain_I602	4385	3	21	1	5	1
Escherichia_coli_strain_IMT16316	5207	1	23	9	5	4
Helicobacter_pylori_F30	1675	1	20	1	1	0
Streptomyces_lunaelactis_strain_MM109	8543	3	23	7	9	13
NA	324	1	16	0	1	0
Nocardioides_sp._603	3971	2	21	3	7	4
Calothrix_sp._NIES-4105	12930	2	26	6	11	17
Salmonella_enterica_subsp._enterica_serovar_Typhi_strain_343077_292148	5208	1	24	7	9	1
Legionella_pneumophila_subsp._pneumophila_strain_Birmingham_1_(D-7470)_strain_Birmingham_1_(D-7470)	3353	1	22	4	3	7
Staphylococcus_aureus_26b_MRSA	2777	1	21	2	4	2
Stenotrophomonas_sp._PAMC25021	4587	2	22	4	1	13
Escherichia_coli_strain_ST540	5229	1	23	12	8	2
Enterobacter_sp._WCHECl1597	3428	1	22	7	4	8
[Brevibacterium]_flavum_ZL-1	3502	3	19	2	2	2
Mycobacterium_tuberculosis_M1615	5674	1	24	2	5	10
Klebsiella_pneumoniae_strain_AP8555	6203	1	30	0	10	5
Klebsiella_pneumoniae_strain_NCTC9178	7128	4	45	8	13	12
Escherichia_coli_strain_2010C-3142	6090	1	23	7	5	1
Fibrella_aestuarina_strain_BUZ_2T	5862	1	22	1	14	16
Escherichia_coli_strain_ECONIH6	5558	1	23	2	6	5
Legionella_pneumophila_strain_E11_U	3287	1	22	4	2	8
Pseudomonas_brenneri_strain_BS2771	5792	1	22	8	4	8
Stenotrophomonas_sp._ASS1	4449	2	22	2	5	12
Nostoc_punctiforme_PCC_73102	8739	2	22	1	12	11
Helicobacter_pylori_strain_26695-dRdM2	1833	1	20	1	0	0
Acetobacter_pasteurianus_subsp._pasteurianus_strain_SRCM101342	3679	1	20	6	3	2
Dyadobacter_fermentans_DSM_18053	6007	4	21	1	14	16
Aliivibrio_salmonicida_LFI1238	4767	1	21	6	16	0
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120009	7947	3	51	3	11	3
Neisseria_meningitidis_strain_M26263	3286	1	21	2	2	0
Salmonella_enterica_subsp._enterica_serovar_Macclesfield_str._S-1643_strain_S-1643	5856	1	23	2	4	1
Salmonella_enterica_subsp._enterica_serovar_Nitra_strain_S-1687	5032	1	23	2	10	1
Gramella_sp._SH35	4288	2	21	4	4	9
Xanthomonas_oryzae_pv._oryzae_strain_NX0260	6208	2	23	2	9	6
Streptomyces_sp._WAC6273	7965	3	27	6	4	13
Capnocytophaga_sp._ChDC_OS43_strain_ChDC_OS43	3461	1	21	5	5	6
Salmonella_enterica_subsp._enterica_serovar_Sanjuan_strain_NCTC7406	5931	2	34	7	7	1
Rhodobacter_sphaeroides_ATCC_17025	4623	3	20	1	6	3
Eggerthella_lenta_strain_32-6-I_6_NA	3505	1	21	4	1	1
Staphylococcus_aureus_strain_UP_1442	3082	1	21	5	4	3
[Haemophilus]_ducreyi_strain_GHA3	1879	1	22	8	0	0
Legionella_pneumophila_subsp._pneumophila_ATCC_43290	3266	1	22	1	9	6
Bradymonadales_bacterium_V1718	5218	2	22	3	3	4
Bordetella_pertussis_strain_J092	4447	3	21	3	1	1
Acidianus_manzaensis_strain_YN-25	3715	0	22	2	4	1
Lactobacillus_buchneri_NRRL_B-30929	2624	1	23	1	6	1
Lactobacillus_plantarum_subsp._plantarum_strain_BNH17	3576	1	24	0	4	4
Streptococcus_infantarius_strain_ICDDRB-NRC-S5	2083	1	24	3	4	1
Streptococcus_pyogenes_strain_1085	2266	1	25	0	2	1
Legionella_pneumophila_strain_NCTC12179	3664	1	28	3	5	7
Streptomyces_noursei_ATCC_11455	9877	5	25	7	8	28
Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str._1655	5676	1	23	2	4	1
Bacillus_subtilis_subsp._spizizenii_ATCC_6633	4393	1	25	10	6	4
Spirochaeta_smaragdinae_DSM_11293	4457	1	24	1	2	11
Mycobacterium_avium_subsp._hominissuis_strain_101115	5459	2	21	1	4	9
Bordetella_pertussis_strain_D321	4383	3	21	1	4	1
Campylobacter_jejuni_strain_CJ677CC531	1893	1	20	2	1	1
Saccharothrix_syringae_strain_NRRL_B-16468	10289	5	28	1	17	18
Klebsiella_quasipneumoniae_strain_3189STDY6864255	5090	1	25	2	9	6
Klebsiella_pneumoniae_strain_2018N16-148_strain_not_collected	7712	3	52	0	15	10
Streptococcus_dysgalactiae_subsp._equisimilis_strain_NCTC5371	2266	1	23	9	4	1
Brucella_melitensis_strain_CIT31	3679	3	20	1	1	3
Escherichia_coli_O157:H7_str._Sakai	5752	1	23	2	7	1
Clostridium_botulinum_NCTC_8550	3345	1	23	3	7	5
Brucella_melitensis_strain_BwIM_SYR_10	3695	2	20	1	2	3
Streptomyces_sp._S1D4-20_strain_Microscale_soil_grain	12465	3	25	0	17	24
Mycoplasma_gallisepticum_NC06_2006.080-5-2P	826	1	19	1	0	0
Brucella_abortus_63/168	1109	1	21	2	0	1
Pseudomonas_chlororaphis_subsp._piscium_strain_PCL1391	6300	2	24	0	6	6
Amphiplicatus_metriothermophilus_strain_CGMCC_1.12710	4771	2	21	3	1	3
Acinetobacter_baumannii_strain_VB958	4565	1	21	8	6	12
Streptococcus_equi_subsp._equi_strain_ATCC_39506	2597	1	23	9	3	1
Xanthomonas_albilineans_strain_Xa-FJ1	3694	1	22	2	11	4
Chlamydia_trachomatis_A2497	1040	1	19	1	2	1
Chlamydia_psittaci_6BC	3669	1	23	2	1	1
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_strain_06_5568	5056	1	23	9	1	1
Bacillus_cereus_strain_D12_2	5680	1	32	16	5	20
NA	2195	0	22	2	2	0
Arthrobacter_sp._FB24	4676	2	22	1	12	5
Escherichia_coli_O45:H2_strain_FWSEC0003	6640	1	28	0	12	1
Micrococcus_luteus_strain_ATCC_4698	2685	2	20	0	4	5
Xanthobacter_autotrophicus_Py2	5212	3	21	1	4	2
Propionibacterium_acidipropionici_ATCC_4875	3466	2	21	1	6	8
Staphylococcus_aureus_strain_UP_774	2991	1	21	6	3	3
Cellulophaga_lytica_DSM_7489	3381	1	21	1	8	4
Mycoplasma_pulmonis_UAB_CTIP	829	1	22	1	1	0
Helicobacter_pylori_ELS37	1771	1	20	1	0	0
Phycisphaerae_bacterium_RAS2	4288	3	23	1	9	5
Bordetella_pertussis_strain_H437	4384	3	21	1	7	1
Mesorhizobium_sp._M6A.T.Cr.TU.016.01.1.1	7156	4	21	2	4	12
Salmonella_enterica_subsp._diarizonae_serovar_50:k:z_str._MZ0080_strain_MZ0080	5006	1	24	2	3	2
Streptomyces_griseorubiginosus_strain_BTU6	8607	2	25	6	15	15
Citrobacter_freundii_strain_CAV1741	5546	2	23	2	4	8
Pseudomonas_putida_strain_E46	5734	2	21	2	6	6
Labrenzia_aggregata_strain_RMAR6-6	6526	2	24	2	8	8
Salmonella_enterica_subsp._enterica_serovar_Anatum_str._USDA-ARS-USMARC-1677	5146	1	23	2	7	1
Dactylococcopsis_salina_PCC_8305	4260	2	23	1	8	2
Piscirickettsia_salmonis_strain_NVI_5692	5456	1	21	6	8	0
Escherichia_albertii_strain_2013C-4143	5156	1	23	9	5	1
Campylobacter_jejuni_strain_CJ677CC012	1846	1	20	2	0	1
Streptococcus_pneumoniae_A026	2347	1	23	3	9	3
Akkermansia_muciniphila_ATCC_BAA-835	2559	1	21	2	5	4
uncultured_Paludibacter_sp._strain_IK1	2897	1	22	2	7	5
Dickeya_zeae_NCPPB_3532	4742	1	23	3	5	5
Klebsiella_quasipneumoniae_strain_Cln185	5089	1	25	2	12	6
Chthonomonas_calidirosea_T49	3095	1	20	1	9	5
Francisella_tularensis_subsp._tularensis_str._SCHU_S4_substr._NR-28534	2244	1	21	4	7	2
Corynebacterium_kutscheri_strain_DSM_20755	2349	1	19	5	2	1
Leptolyngbya_boryana_NIES-2135	7652	1	23	5	7	8
Pseudomonas_syringae_pv._tomato_strain_B13-200	6636	2	23	2	9	9
Yersinia_pestis_D106004	5169	2	22	2	7	3
Cellvibrio_japonicus_strain_ADPT1-KOJIBIOSE	4188	1	21	3	13	5
Pseudomonas_aeruginosa_DK1_strain_DK1	6076	2	22	6	3	10
Helicobacter_pylori_Puno120	1712	1	22	1	1	0
Aggregatibacter_actinomycetemcomitans_strain_PN_566	4280	1	25	1	5	1
NA	1966	1	20	3	0	2
Salmonella_enterica_subsp._enterica_serovar_Derby_strain_Sa64	6122	3	30	1	10	3
Wolbachia_endosymbiont_of_Onchocerca_volvulus_str._Cameroon	948	1	20	0	3	0
Klebsiella_pneumoniae_strain_AR_0112	6495	1	26	2	12	10
Salmonella_enterica_subsp._enterica_serovar_Senftenberg_strain_SA20061017	5395	1	24	0	7	1
Flavobacterium_sp._RD-2-33	2543	1	21	6	1	1
Mycobacterium_tuberculosis_strain_LJ319	4782	2	21	1	2	10
Amphibacillus_xylanus_NBRC_15112	2502	1	23	2	8	2
Salmonella_enterica_subsp._enterica_serovar_Anatum_strain_CFSAN076215	5188	1	25	1	5	1
Anaplasma_phagocytophilum_str._Webster	1912	1	22	2	1	1
Shewanella_sp._D4-2	4485	3	22	8	5	10
Streptococcus_pneumoniae_strain_2245STDY6105855_strain_GPSC56	3204	1	23	1	4	3
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2	5094	1	23	2	6	1
Mesoplasma_lactucae_ATCC_49193_strain_831-C4	749	1	20	4	1	0
Salmonella_enterica_subsp._enterica_serovar_Newport_strain_0007-33	5128	1	23	2	7	1
Staphylococcus_aureus_strain_Col52-A5	3126	1	21	6	5	3
Chlamydophila_psittaci_6BC	1102	1	19	1	3	1
Bacillus_cereus_strain_HN001	6568	1	34	15	10	33
Acetobacter_pasteurianus_subsp._paradoxus_strain_LMG_1591	3930	1	20	1	9	2
Selenomonas_sp._oral_taxon_136	2672	1	21	4	2	4
Lactobacillus_acidophilus_La-14	2023	2	22	2	6	7
Campylobacter_avium_LMG_24591	1913	1	20	3	1	0
Pseudomonas_aeruginosa_strain_FDAARGOS_570_strain_Not_applicable	7417	2	22	4	8	14
Mannheimia_haemolytica_USMARC_2286	2856	1	22	2	1	3
Veillonella_dispar_strain_NCTC11831	2040	1	22	4	1	3
Bifidobacterium_breve_strain_180W83	2115	1	19	4	3	0
Enterobacter_cloacae_strain_20710	5865	2	23	2	10	8
Pseudomonas_putida_strain_B4	5951	2	21	0	6	6
Escherichia_coli_strain_NCYU-21-79_strain_not_collected	8067	2	45	0	10	4
Nitrosomonas_ureae_strain_Nm10	3653	1	21	1	2	2
Bordetella_pertussis_strain_I461	4383	3	21	1	6	1
Staphylococcus_aureus_strain_NRS120	3222	1	21	6	3	5
Piscirickettsia_salmonis_strain_PM51819A	4703	1	22	3	3	0
Escherichia_coli_strain_300709	5421	1	22	7	5	1
Shigella_dysenteriae_strain_ATCC_49347	5905	1	22	9	8	1
Neisseria_meningitidis_strain_M26263	3080	1	22	6	1	0
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120469	4644	1	23	2	10	1
Halopenitus_persicus_strain_CBA1233	3608	0	20	3	6	1
Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._USDA-ARS-USMARC-1904	4989	1	23	2	7	1
Bordetella_pertussis_strain_J617	4432	3	21	3	8	1
Enterobacter_cloacae_strain_AR_0053	5363	1	23	2	7	8
Agrobacterium_tumefaciens_strain_15955	5808	3	21	5	6	9
Streptococcus_mutans_NN2025	1989	1	25	2	1	2
Streptococcus_pyogenes_strain_MGAS28360	2077	1	23	0	3	1
Anaplasma_phagocytophilum_str._ApWI1	1921	1	22	2	1	1
NA	883	1	20	1	0	0
Salmonella_enterica_subsp._enterica_serovar_Typhi_strain_343076_253155	5338	2	24	7	9	1
Serratia_marcescens_strain_1140-	5664	1	24	0	6	11
Sulfolobus_islandicus_M.16.47	3773	0	26	2	6	3
Bordetella_pertussis_strain_H842	4389	3	21	1	5	1
Vibrio_anguillarum_strain_A023	4009	1	23	2	5	3
Muricauda_lutaonensis_strain_CC-HSB-11	3575	2	21	2	3	9
Mycoplasma_capricolum_subsp._capripneumoniae_87001	1188	1	20	1	2	0
Lactobacillus_plantarum_WHE_92	3611	1	24	0	5	4
Planomicrobium_glaciei_strain_46093	6060	8	53	9	4	4
[Eubacterium]_siraeum_strain_2789STDY5834928	2962	1	23	4	8	0
Synechococcus_elongatus_PCC_11801	2963	2	21	0	3	2
Pseudomonas_synxantha_strain_R2-54-08W	5820	2	23	0	6	8
Streptococcus_macedonicus_ACA-DC_198	2306	1	23	3	7	1
Bacillus_anthracis_str._CDC_684	6185	1	32	3	10	22
Streptococcus_mutans_strain_T8	2122	1	25	5	2	2
Rhizobium_sp._N741	6887	3	22	4	8	9
Negativicoccus_massiliensis_strain_AT7	1426	1	23	5	4	0
Agrobacterium_fabrum_str._C58	5391	2	21	4	5	8
Francisella_noatunensis_subsp._orientalis_strain_FNO190	2392	1	21	4	2	5
Lactobacillus_gastricus_strain_LG045	2151	1	22	0	3	3
Zymomonas_mobilis_subsp._mobilis_str._CP4_=_NRRL_B-14023	2372	1	20	3	2	6
Escherichia_coli_strain_BW25113	4881	1	23	0	5	1
Geoglobus_acetivorans_SBH6	2307	0	19	1	2	1
Staphylococcus_aureus_strain_AR_475	2883	1	21	8	5	5
Georgenia_sp._Z294	3182	2	21	0	4	5
Halomonas_sp._hl-4	4358	1	22	8	5	6
Helicobacter_pylori_strain_MKF10	1767	1	20	3	3	0
Bordetella_pertussis_strain_J377	4395	3	21	0	8	1
Mannheimia_haemolytica_strain_38599	2989	1	22	6	1	3
Escherichia_coli_strain_2013C-3492	5951	1	22	9	8	1
Helicobacter_pylori_oki828	1729	1	20	1	2	0
Stenotrophomonas_maltophilia_ATCC_19867	4327	2	22	6	7	11
Bordetella_pertussis_strain_J582	4458	3	21	3	6	1
Bordetella_pertussis_strain_J603	4442	3	21	3	6	1
Pandoraea_sp._XY-2	5224	3	24	0	2	7
Salmonella_enterica_subsp._enterica_serovar_Typhi_strain_311189_210186	5487	1	24	7	5	2
Pantoea_dispersa_strain_DSM_32899	4725	1	25	0	10	2
Bordetella_pertussis_strain_I323	4428	3	21	3	0	1
Haemophilus_influenzae_strain_P615-8618	1938	1	24	2	0	0
Streptococcus_pneumoniae_ATCC_700669	2450	1	23	3	7	3
Pseudoalteromonas_haloplanktis_TAC125	3605	1	23	2	6	3
NA	663	1	22	1	0	0
Escherichia_coli_strain_NMEC_O18	5291	1	23	9	12	1
Klebsiella_pneumoniae_strain_BD_DM_697	6286	2	25	0	9	9
Streptomyces_fulvissimus_DSM_40593	7263	2	24	1	10	10
Deinococcus_actinosclerus_strain_SJTR_strain_Deinococcus_actinosclerus_SJTR	4069	1	25	5	6	10
Planctomycetes_bacterium_Spb1	5459	2	21	2	7	9
Lactobacillus_harbinensis_strain_M1	4062	1	24	1	4	6
Mycobacterium_tuberculosis_strain_CAS	4883	2	21	1	7	10
Corynebacterium_glutamicum_strain_USDA-ARS-USMARC-56828	3267	3	19	2	3	2
Aquitalea_denitrificans_strain_5YN1-3	4544	1	22	8	1	4
Cloacibacillus_porcorum_strain_CL-84	3881	1	22	4	2	3
Acidovorax_radicis_N35	4190	1	23	2	8	3
Escherichia_coli_strain_20Ec-P-124	5741	2	24	9	8	1
Gordonia_sp._HY186	3075	2	20	3	3	2
Pseudomonas_sp._MS586	5935	2	22	3	5	5
Citrobacter_amalonaticus_Y19	5933	1	22	2	8	3
Klebsiella_pneumoniae_strain_F138	6472	3	26	0	15	8
Erwinia_amylovora_ATCC_49946	3733	1	23	2	5	1
Sphingopyxis_macrogoltabida_strain_203	5944	6	20	1	7	19
Parvimonas_micra_strain_KCOM_1037	1720	2	20	5	2	0
Faecalibacterium_prausnitzii_L2-6	3292	1	23	2	3	4
Mycobacterium_tuberculosis_PanR0306	4480	2	21	1	5	10
Flavobacterium_sp._Leaf82	5017	1	20	0	5	1
Alteromonas_addita_strain_R10SW13	4183	2	23	6	4	4
Mycobacterium_avium_subsp._hominissuis_strain_JP-H-1	5815	2	21	1	16	8
Bifidobacterium_dentium_JCM_1195_=_DSM_20436	2496	2	19	5	8	1
Chryseobacterium_carnipullorum_strain_G0188	5509	3	22	0	7	25
Xanthomonas_oryzae_pv._oryzae_strain_PXO421	6164	2	22	2	10	5
Mycobacterium_tuberculosis_strain_0B259XDR	4521	2	22	1	7	9
Mycoplasma_mycoides_subsp._capri_strain_GM12	974	1	21	2	0	2
Lactobacillus_plantarum_strain_JBE490	3416	1	24	2	5	3
Neisseria_meningitidis_strain_WUE2121	2986	1	21	6	1	0
Acinetobacter_baumannii_strain_UPAB1	4288	3	21	6	5	6
Thermotoga_profunda_AZM34c06	2261	1	23	2	6	2
Saccharolobus_solfataricus_strain_SUL120	4169	0	22	1	5	3
Mycobacterium_virus_Corndog	132	0	0	0	0	0
Borrelia_sp._CA690	1209	1	20	0	0	1
Comamonas_testosteroni_TK102	5825	3	21	2	2	6
Staphylococcus_epidermidis_strain_HD33	2799	1	21	2	4	4
Listeria_monocytogenes_serotype_1/2a_str._08-7374_strain_08-7374	3131	1	23	7	2	3
Listeria_monocytogenes_L99	3109	1	23	2	3	3
Lactobacillus_casei_LcA_strain_Actimel	3492	1	22	5	3	8
Escherichia_coli_strain_L103-2	5817	2	24	0	4	6
Bacillus_subtilis_strain_TLO3	4685	1	26	5	9	5
Formosa_sp._PS13	3608	1	21	4	3	6
Brucella_melitensis_strain_BwIM_SYR_31	3696	2	20	1	1	3
Campylobacter_sputorum_bv._faecalis_CCUG_20703	2057	1	20	4	2	0
Prosthecochloris_aestuarii_DSM_271	2597	1	19	1	2	3
Beijerinckia_indica_subsp._indica_ATCC_9039	4221	2	21	1	5	5
Klebsiella_pneumoniae_strain_FDAARGOS_775_strain_Not_applicable	5900	1	29	0	12	5
Escherichia_coli_O157:H7_strain_ATCC_43888	6113	1	23	0	9	1
Streptomyces_roseochromogenus_subsp._oscitans_DS_12.976	10111	2	31	6	7	13
Streptococcus_pyogenes_strain_emm90.5	1905	1	24	0	2	1
Streptococcus_agalactiae_strain_SA627	2051	1	23	9	5	1
Bacillus_subtilis_strain_SRCM103622	4592	3	25	9	7	4
Streptococcus_agalactiae_strain_SA53	2053	1	23	9	5	1
Acidobacteriaceae_bacterium_SBC82	7809	3	23	2	12	16
Salmonella_enterica_strain_NCTC9948	5403	1	26	9	13	2
Staphylococcus_aureus_strain_AR_0467	3132	1	21	8	1	6
Mycoplasma_bovis_strain_HB0801-P150	1031	1	22	4	0	0
Lactobacillus_plantarum_strain_12_3	3728	1	24	0	4	5
Citrobacter_koseri_strain_BL23	4785	1	25	2	4	5
Anoxybacter_fermentans_strain_DY22613	4180	2	24	1	3	1
Mycobacterium_chimaera_strain_DSM_44623	6417	2	21	2	8	7
Pseudomonas_chlororaphis_subsp._aureofaciens_strain_ChPhzS23	6508	2	24	0	6	9
Escherichia_coli_strain_CP53	5637	2	24	0	5	2
Erysipelotrichaceae_bacterium_I46	5169	2	21	6	7	2
Anaerobacterium_chartisolvens_strain_DSM_27016	4105	1	23	2	3	3
Bacillus_anthracis_strain_PR09-4	5891	1	32	13	14	21
Cyanothece_sp._PCC_7424	6108	2	22	1	4	4
Salmonella_enterica_subsp._enterica_serovar_Typhi_strain_343077_255118	5173	1	24	7	5	1
Bacillus_subtilis_subsp._subtilis_strain_BS155	6437	8	35	13	9	6
Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._USDA-ARS-USMARC-1901	4971	1	23	2	9	1
Lactobacillus_curvatus_strain_KG6	2317	1	24	3	1	2
Mycoplasma_mycoides_subsp._capri_LC_str._95010	1000	1	19	1	0	0
Lactobacillus_helveticus_strain_MGYG-HGUT-02384	2660	2	22	5	2	7
Vibrio_anguillarum_strain_PF4	3985	1	23	0	6	3
Pelobacter_sp._SFB93	3281	2	22	2	5	6
Lactobacillus_ruminis_ATCC_27782	2274	1	26	2	2	1
Serratia_marcescens_strain_WVU-003	5240	1	24	0	8	9
Blattabacterium_punctulatus_strain_CPUwf	613	1	21	2	1	2
Chlamydia_trachomatis_L2b/Ams1	1020	1	19	1	0	1
Lactococcus_lactis_subsp._cremoris_strain_158	2927	1	23	8	1	1
Agrobacterium_tumefaciens_P4	5561	3	21	6	8	8
Mannheimia_haemolytica_strain_1450	3087	1	22	6	4	4
Leuconostoc_mesenteroides_strain_SRCM103356	2222	1	22	0	2	1
Campylobacter_jejuni_subsp._jejuni_strain_CLB104	2084	1	20	3	2	1
Neisseria_meningitidis_strain_M09293	3032	1	21	2	3	0
Acinetobacter_baumannii_AB_TG2018	2930	2	21	1	4	2
Propionimicrobium_sp._Marseille-P3275_strain_Marseille-P3275	2085	2	20	3	6	3
Thermodesulfobacterium_sp._TA1	2309	1	21	1	2	4
Pseudomonas_aeruginosa_strain_1207	7478	2	22	2	5	13
Rickettsia_rickettsii_str._Iowa	1635	1	20	1	0	6
Lactobacillus_johnsonii_strain_IDCC9203	2133	2	22	2	4	8
Klebsiella_pneumoniae_strain_1756	5464	1	26	2	11	8
Taylorella_equigenitalis_14/56	1863	1	22	2	0	0
Staphylococcus_pseudintermedius_strain_51_92	2626	1	21	6	3	3
Salmonella_enterica_subsp._enterica_strain_NCTC7411	5151	2	38	7	12	1
Chryseobacterium_arthrosphaerae_strain_ED882-96	9539	0	39	1	3	32
Streptococcus_sp._oral_taxon_431	2432	1	23	3	1	3
Acinetobacter_sp._NCu2D-2	3160	1	21	2	5	0
Sphingobium_sp._Z007_strain_1	5163	2	20	5	4	10
Bacillus_velezensis_strain_TJ02	4285	1	24	11	1	5
Thermus_sp._CCB_US3_UF1	2331	1	23	2	4	3
NA	1472	1	21	1	2	1
Spiribacter_salinus_M19-40	1777	2	20	1	0	1
Dickeya_dianthicola_IPO_980	4426	1	23	2	5	6
Citrobacter_amalonaticus_strain_133355-SW-C4-Cam	4799	1	22	0	8	6
Francisella_philomiragia_O319-029	2070	1	21	1	1	2
Escherichia_coli_strain_YY76-1	5242	2	23	0	7	3
Anaplasma_marginale_str._Dawn	1273	1	20	1	1	1
Pannonibacter_phragmitetus_BB	5411	2	23	5	7	5
Corynebacterium_striatum_strain_216	3318	2	19	4	1	2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121542	4645	1	23	2	1	1
Phycicoccus_dokdonensis_strain_DSM_22329	3862	3	20	2	9	6
Haemophilus_influenzae_strain_NCTC13377	1989	1	26	8	0	0
Bifidobacterium_longum_E18	2203	1	19	5	4	1
Dictyoglomus_turgidum_DSM_6724	1922	1	22	2	11	7
Escherichia_coli_strain_115	6196	1	24	0	4	1
Yersinia_pseudotuberculosis_str._PA3606_Pa3606	4625	1	22	2	5	3
Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_strain_12888	5332	1	24	0	7	2
Mycobacterium_tuberculosis_ERR212106	988	1	25	1	1	0
Mycoplasma_mycoides_subsp._capri_strain_GM12	1028	3	25	2	1	2
Staphylococcus_aureus_strain_82	2904	1	21	8	2	7
Neisseria_lactamica_ATCC_23970	2767	1	21	6	5	0
Staphylococcus_aureus_strain_ZY05	3086	1	21	6	2	4
Lactobacillus_johnsonii_strain_UMNLJ21	2374	2	22	2	3	3
Escherichia_coli_strain_5A	4804	1	24	9	4	3
Rhodobacter_sphaeroides_strain_AB27	4843	3	21	0	6	3
